Time [s],Value,Parity Error,Framing Error
181.327526400000011,0x9A,,
181.327612799999997,0x02,,
181.327699200000012,0x79,,
181.327785599999999,0x07,,
181.327872000000013,0x00,,
181.826928350000003,0x01,,
181.827014700000007,0x0A,,
181.827101099999993,0x02,,
181.827187500000008,0x93,,
181.827273950000006,0x24,,
181.827360300000009,0xFA,,
181.827446750000007,0xB6,,
181.827533149999994,0x9A,,
181.827619550000009,0x02,,
181.827705900000012,0x0F,,
181.827792299999999,0xCB,,
181.827878749999996,0x00,,
182.326952299999988,0x01,,
182.327038700000003,0x0A,,
182.327125099999989,0x02,,
182.327211500000004,0x93,,
182.327297899999991,0x24,,
